组织机构ID,组织机构代码,组织机构名称,组织机构简称,所属地市,所属省份
9e88a2edfabb4a9db03adae3ed50d8bc,99000003,《中国烟草》杂志社,《中国烟草》杂志社,110000,110000
539e394909f34490b33009f7807a6261,10230901,七台河市烟草专卖局,七台河市局,230900,230000
8406f4b2df5747abb1b5067f6a3e9809,11230902,七台河烟草分公司勃利营销部,七台河烟草分公司勃利营销部,230900,230000
97c376b2154045ba9f185a1b82ee1ea1,10130707,万全县烟草专卖局,万全县局,130729,130000
003974db22a04dd69753175abbc7e2b8,10469014,万宁市烟草专卖局,万宁市局,469006,460000
0b0c8878005a4d6188292433c264a8b4,11360810,万安县烟草公司,万安县烟草公司,360800,360000
71d18125868740edbd90a017a3790cbc,10522207,万山特区烟草专卖局,万山特区局,522230,520000
8c4f531a337148bfa7a7ec9d04d0ea8c,11522206,万山特区烟草公司,万山特区烟草公司,522200,520000
044b4cf635ed49eaaf653920955850bc,11361111,万年县烟草公司,万年县烟草公司,361100,360000
7a6656295323492f96bb114a5e451516,10140806,万荣县烟草专卖局,万荣县局,140822,140000
dbfa94a40ef546608eb50d827cc6c36a,11360906,万载县烟草公司,万载县烟草公司,360900,360000
57cde0a3b0b145708463a253ca966dc8,10460201,三亚市烟草专卖局,三亚市局,460200,460000
75a389b5c2fb4aa9b47b9b43619f65ee,10610407,三原县烟草专卖局,三原县局,610422,610000
762fceeac4644343b6df79eb786671a5,12420502,三峡卷烟厂,三峡卷烟厂,420500,420000
d385c6eeedf34bb9ae01fc0e2e97c48b,10350412,三明市城区烟草专卖局,三明市城区烟草专卖局,350400,350000
9071b84824f946b1b6c1484b89c07d3a,14350406,三明市烟叶复烤厂,三明市烟叶复烤厂,350400,350000
c86ff8bb6e5a430eb20ff1439d452f46,10350401,三明市烟草专卖局,三明市局,350400,350000
cc56de59384a42038921671c5dbfac28,11350412,三明市烟草公司城区分公司,三明市烟草公司城区分公司,350400,350000
addabe77db314b9ca04ea9907367f853,11522705,三都县公司,三都县公司,522700,520000
3e3564db62c84c04bdae0f8af706e4af,10522705,三都县烟草专卖局,三都县局,522732,520000
0a5c865f2796459d91a6501d156ab14f,10331004,三门县烟草专卖局,浙江省三门县局,331000,330000
86f80829a4cb422f9e6469fdd64303cf,10411203,三门峡市城区烟草专卖局,三门峡市城区局,411202,410000
e5d77f719765468d9e7f4550e2950c97,10411201,三门峡市烟草专卖局,三门峡市局,411200,410000
1f72bd0baae7416583e0e364b075b509,11411205,三门峡市烟草公司陕州分公司,陕州分公司,411200,410000
419a579b7a8f46249b03127cd274893b,10411205,三门峡市陕州区烟草专卖局,陕州区局,411222,410000
e3d37e51787e423fabecc8f3c57b2d9c,99411201,三门峡金红烟草责任有限公司,三门峡金红烟草责任有限公司,411200,410000
866838415245455ea818d0efa4df0dbd,10450603,上思县烟草专卖局,上思县局,450621,450000
5467f7eee41944fe8d858cbc17ef00a2,10350804,上杭县烟草专卖局,上杭县局,350823,350000
af01f0edc09f4d6e864812f99fcd5935,10450114,上林县烟草专卖局,上林县局,450125,450000
4db90733081841a891c5e70f6aef0ce0,11450108,上林县烟草公司,上林县烟草公司,450100,450000
dbc801d15acc42e3b9d8db5e95355504,10360303,上栗县烟草专卖局,上栗县局,360322,360000
768685fda9644b9ebac0d97058af1144,99310114,上海中国烟草博物馆,上海中国烟草博物馆,310000,310000
569f9ae8ee7a428fb7fc94bd247506ea,12310102,上海卷烟厂,上海卷烟厂,310100,310000
b374d2130109461eb86cdedb71d93b3d,10310001,上海市烟草专卖局,上海市烟草专卖局,310000,310000
1e595d9b8b644d058f75457293edf5f0,10310114,上海市烟草专卖局嘉定分局,上海市烟草专卖局嘉定分局,310114,310000
2054698d469643f8adc0369d28cea3b2,10310120,上海市烟草专卖局奉贤分局,上海市烟草专卖局奉贤分局,310120,310000
242ee172a9a148229dbe541ba3b9edf5,10310113,上海市烟草专卖局宝山分局,上海市烟草专卖局宝山分局,310113,310000
850e6da9bf13442c939eaa5a151ae7e5,10310201,上海市烟草专卖局崇明分局,上海市烟草专卖局崇明分局,310230,310000
4b2ebb6da48b4db194a7466af4fc6dec,10310104,上海市烟草专卖局徐汇分局,上海市烟草专卖局徐汇分局,310104,310000
e5387c7bee294928bc7e2f85889a2645,10310107,上海市烟草专卖局普陀分局,上海市烟草专卖局普陀分局,310107,310000
f4819d68a2ff4dbca1b0f6b91acfe0b6,10310110,上海市烟草专卖局杨浦分局,上海市烟草专卖局杨浦分局,310110,310000
07b5d77c76a04cb7b992fdb5b5bca457,10310117,上海市烟草专卖局松江分局,上海市烟草专卖局松江分局,310117,310000
b548f5dcf23b4b5490c8485c68271138,10310115,上海市烟草专卖局浦东新区分局,上海市烟草专卖局浦东新区分局,310115,310000
ab6f614abe36446f90c7e6e0e4e421a7,10310109,上海市烟草专卖局虹口分局,上海市烟草专卖局虹口分局,310109,310000
4404a8d60b244aacb08b3c85c96fa0a3,10310116,上海市烟草专卖局金山分局,上海市烟草专卖局金山分局,310116,310000
