论文里的名字,组织机构ID,组织机构代码,组织机构名称,组织机构简称,所属地市,所属省份
(1.吉林烟草工业有限责任公司,9650cd500c52407d8df4febe09958a40,12222402,吉林烟草工业有限责任公司,吉林烟草工业公司,220200,220000
.云南省烟草公司保山市公司,3645ac9769f2434d8790e790438b3b7d,11530501,云南省烟草公司保山市公司,云南省烟草公司保山市公司,530500,530000
.贵州省烟草公司毕节市公司,6b58fc23b5974fc8b9abb5f760909223,11520405,贵州省烟草公司安顺市西秀区烟草公司,贵州省烟草安顺市西秀区烟草公司,520400,520000
3.贵州省烟草公司黔西南州公司，兴义 562400,979bc97cfc534bc38d0a5eafebb8969b,14522202,贵州省烟草公司铜仁分公司思南烟叶复烤厂,贵州省烟草铜仁分公司思南烟叶复烤厂,520000,520000
《中国烟草》杂志社,﻿9e88a2edfabb4a9db03adae3ed50d8bc,99000003,《中国烟草》杂志社,《中国烟草》杂志社,110000,110000
七台河市烟草专卖局,539e394909f34490b33009f7807a6261,10230901,七台河市烟草专卖局,七台河市局,230900,230000
万全县烟草专卖局,97c376b2154045ba9f185a1b82ee1ea1,10130707,万全县烟草专卖局,万全县局,130729,130000
三亚市烟草专卖局,57cde0a3b0b145708463a253ca966dc8,10460201,三亚市烟草专卖局,三亚市局,460200,460000
三明市城区烟草专卖局(分公司),02bb8be0a7274cadb98f9970050dfb74,10411106,城区烟草专卖局,城区烟草专卖局,411100,410000
三明市烟草专卖局,c86ff8bb6e5a430eb20ff1439d452f46,10350401,三明市烟草专卖局,三明市局,350400,350000
三明市烟草公司城区分公司,cc56de59384a42038921671c5dbfac28,11350412,三明市烟草公司城区分公司,三明市烟草公司城区分公司,350400,350000
三星常德烟草机械有限责任公司研究所,1f81bcdea92c4e3e8a672407a23c4842,13430701,常德烟草机械有限责任公司,常德烟草机械有限公司,430700,430000
三都县烟草专卖局,3e3564db62c84c04bdae0f8af706e4af,10522705,三都县烟草专卖局,三都县局,522732,520000
三门峡市烟草专卖局,e5d77f719765468d9e7f4550e2950c97,10411201,三门峡市烟草专卖局,三门峡市局,411200,410000
三门峡市烟草公司陕州分公司,1f72bd0baae7416583e0e364b075b509,11411205,三门峡市烟草公司陕州分公司,陕州分公司,411200,410000
上思县烟草专卖局,866838415245455ea818d0efa4df0dbd,10450603,上思县烟草专卖局,上思县局,450621,450000
上林县烟草专卖局,af01f0edc09f4d6e864812f99fcd5935,10450114,上林县烟草专卖局,上林县局,450125,450000
上海市烟草专卖局,b374d2130109461eb86cdedb71d93b3d,10310001,上海市烟草专卖局,上海市烟草专卖局,310000,310000
上海市烟草专卖局专卖监督管理处,b374d2130109461eb86cdedb71d93b3d,10310001,上海市烟草专卖局,上海市烟草专卖局,310000,310000
上海市烟草专卖局修志办,b374d2130109461eb86cdedb71d93b3d,10310001,上海市烟草专卖局,上海市烟草专卖局,310000,310000
上海市烟草专卖局内部专卖管理监督派驻奉贤办公室,b374d2130109461eb86cdedb71d93b3d,10310001,上海市烟草专卖局,上海市烟草专卖局,310000,310000
上海市烟草专卖局卢弯分局,b374d2130109461eb86cdedb71d93b3d,10310001,上海市烟草专卖局,上海市烟草专卖局,310000,310000
上海市烟草专卖局卢湾分局,b374d2130109461eb86cdedb71d93b3d,10310001,上海市烟草专卖局,上海市烟草专卖局,310000,310000
上海市烟草专卖局嘉定分局,b374d2130109461eb86cdedb71d93b3d,10310001,上海市烟草专卖局,上海市烟草专卖局,310000,310000
上海市烟草专卖局嘉定分局专卖监督管理科,b374d2130109461eb86cdedb71d93b3d,10310001,上海市烟草专卖局,上海市烟草专卖局,310000,310000
上海市烟草专卖局嘉定烟草专卖分局,b374d2130109461eb86cdedb71d93b3d,10310001,上海市烟草专卖局,上海市烟草专卖局,310000,310000
上海市烟草专卖局奉贤分局,2054698d469643f8adc0369d28cea3b2,10310120,上海市烟草专卖局奉贤分局,上海市烟草专卖局奉贤分局,310120,310000
上海市烟草专卖局宝山分局,242ee172a9a148229dbe541ba3b9edf5,10310113,上海市烟草专卖局宝山分局,上海市烟草专卖局宝山分局,310113,310000
上海市烟草专卖局宝山分局稽查支队,242ee172a9a148229dbe541ba3b9edf5,10310113,上海市烟草专卖局宝山分局,上海市烟草专卖局宝山分局,310113,310000
上海市烟草专卖局徐汇分局,4b2ebb6da48b4db194a7466af4fc6dec,10310104,上海市烟草专卖局徐汇分局,上海市烟草专卖局徐汇分局,310104,310000
上海市烟草专卖局普陀分局,e5387c7bee294928bc7e2f85889a2645,10310107,上海市烟草专卖局普陀分局,上海市烟草专卖局普陀分局,310107,310000
上海市烟草专卖局杨浦分局,f4819d68a2ff4dbca1b0f6b91acfe0b6,10310110,上海市烟草专卖局杨浦分局,上海市烟草专卖局杨浦分局,310110,310000
上海市烟草专卖局杨浦分局内部专卖管理监督科,f4819d68a2ff4dbca1b0f6b91acfe0b6,10310110,上海市烟草专卖局杨浦分局,上海市烟草专卖局杨浦分局,310110,310000
上海市烟草专卖局杨浦烟草专卖分局稽查支队,b374d2130109461eb86cdedb71d93b3d,10310001,上海市烟草专卖局,上海市烟草专卖局,310000,310000
上海市烟草专卖局浦东新区分局,b374d2130109461eb86cdedb71d93b3d,10310001,上海市烟草专卖局,上海市烟草专卖局,310000,310000
上海市烟草专卖局老干部处,b374d2130109461eb86cdedb71d93b3d,10310001,上海市烟草专卖局,上海市烟草专卖局,310000,310000
上海市烟草专卖局虹口分局,ab6f614abe36446f90c7e6e0e4e421a7,10310109,上海市烟草专卖局虹口分局,上海市烟草专卖局虹口分局,310109,310000
上海市烟草专卖局虹口分局党委,ab6f614abe36446f90c7e6e0e4e421a7,10310109,上海市烟草专卖局虹口分局,上海市烟草专卖局虹口分局,310109,310000
上海市烟草专卖局金山分局内部专卖管理监督派驻办,4404a8d60b244aacb08b3c85c96fa0a3,10310116,上海市烟草专卖局金山分局,上海市烟草专卖局金山分局,310116,310000
上海市烟草专卖局金山分局内部专卖管理监督派驻办公室,4404a8d60b244aacb08b3c85c96fa0a3,10310116,上海市烟草专卖局金山分局,上海市烟草专卖局金山分局,310116,310000
上海市烟草专卖局长宁分局专卖监督管理科,3e9666148d2346ff9bf605deb69b6fc3,10310105,上海市烟草专卖局长宁分局,上海市烟草专卖局长宁分局,310105,310000
上海市烟草专卖局闵行分局,c5a198864a04409085d1338ed5585563,10310112,上海市烟草专卖局闵行分局,上海市烟草专卖局闵行分局,310112,310000
上海市烟草专卖局闵行分局专卖监督管理科,c5a198864a04409085d1338ed5585563,10310112,上海市烟草专卖局闵行分局,上海市烟草专卖局闵行分局,310112,310000
上海市烟草专卖局闸北分局,0d9bb2d29986409284c71264dda02a8f,10310108,上海市烟草专卖局闸北分局,上海市烟草专卖局闸北分局,310108,310000
上海市烟草专卖局青浦分局,2555a14c6c4d40808294226e55965919,10310118,上海市烟草专卖局青浦分局,上海市烟草专卖局青浦分局,310118,310000
上海市烟草专卖局黄浦分局,fc0892333d6d4fedbeb1cdfbd8260721,10310101,上海市烟草专卖局黄浦分局,上海市烟草专卖局黄浦分局,310101,310000
上海捷强烟草糖酒（集团）有限公司,0f9cc9dffa5844f7b2f42c646b984f17,11310102,上海捷强烟草糖酒（集团）有限公司,上海捷强烟草糖酒（集团）有限公司,310000,310000
上海新型烟草制品研究院,5a367f29e9ae4e00a368337ba56dc251,99310102,上海新型烟草制品研究院有限公司,上海新型烟草制品研究院,310000,310000
上海烟草(集团)上海卷烟厂,569f9ae8ee7a428fb7fc94bd247506ea,12310102,上海卷烟厂,上海卷烟厂,310100,310000
上海烟草(集团)公司上海卷烟厂,569f9ae8ee7a428fb7fc94bd247506ea,12310102,上海卷烟厂,上海卷烟厂,310100,310000
上海烟草(集团)公司上海卷烟厂三车间,569f9ae8ee7a428fb7fc94bd247506ea,12310102,上海卷烟厂,上海卷烟厂,310100,310000
上海烟草(集团)公司天津卷烟厂,0711f5130e7840508df8094514828f73,12120101,天津卷烟厂,天津卷烟厂,120000,120000
上海烟草(集团)公司天津卷烟厂设备部,0711f5130e7840508df8094514828f73,12120101,天津卷烟厂,天津卷烟厂,120000,120000
上海烟草(集团)公司天津卷烟厂财务科,0711f5130e7840508df8094514828f73,12120101,天津卷烟厂,天津卷烟厂,120000,120000
上海烟草(集团)天津卷烟厂,0711f5130e7840508df8094514828f73,12120101,天津卷烟厂,天津卷烟厂,120000,120000
上海烟草[集团]公司天津卷烟厂,0711f5130e7840508df8094514828f73,12120101,天津卷烟厂,天津卷烟厂,120000,120000
上海烟草工业印刷厂,cef5189136d14060a32f97955bd39c14,15310109,上海烟草工业印刷厂,上海烟草工业印刷厂,310000,310000
上海烟草工业印刷厂凹印事业部,cef5189136d14060a32f97955bd39c14,15310109,上海烟草工业印刷厂,上海烟草工业印刷厂,310000,310000
上海烟草工业印刷厂厂长,cef5189136d14060a32f97955bd39c14,15310109,上海烟草工业印刷厂,上海烟草工业印刷厂,310000,310000
上海烟草机械有限责任公司,b6f0a67ecf29462c89f0c83cd53fb342,23310001,上海烟草机械有限责任公司,上海烟草机械有限责任公司,310000,310000
上海烟草机械有限责任公司信息技术部,b6f0a67ecf29462c89f0c83cd53fb342,23310001,上海烟草机械有限责任公司,上海烟草机械有限责任公司,310000,310000
上海烟草机械有限责任公司技术开发部,b6f0a67ecf29462c89f0c83cd53fb342,23310001,上海烟草机械有限责任公司,上海烟草机械有限责任公司,310000,310000
上海烟草机械有限责任公司鑫隆烟草机械厂,b6f0a67ecf29462c89f0c83cd53fb342,23310001,上海烟草机械有限责任公司,上海烟草机械有限责任公司,310000,310000
上海烟草材料厂,e0d44a0010bb4f5297e000adf974bed5,15310101,上海烟草材料厂,上海烟草材料厂,310000,310000
上海烟草责任有限公司上海卷烟厂,569f9ae8ee7a428fb7fc94bd247506ea,12310102,上海卷烟厂,上海卷烟厂,310100,310000
上海烟草贸易中心有限公司,1153189f092a4bbebd4773dce5ae0e42,99310101,上海烟草贸易中心有限公司,上海烟草贸易中心有限公司,310000,310000
上海烟草集团公司,618e914d95a74cfa9ccebfa4aed78aa3,11310001,上海烟草集团有限责任公司,上海烟草集团公司,310000,310000
上海烟草集团公司上海卷烟厂,618e914d95a74cfa9ccebfa4aed78aa3,11310001,上海烟草集团有限责任公司,上海烟草集团公司,310000,310000
上海烟草集团公司上海高扬国际烟草有限公司,618e914d95a74cfa9ccebfa4aed78aa3,11310001,上海烟草集团有限责任公司,上海烟草集团公司,310000,310000
上海烟草集团公司人事劳资处,618e914d95a74cfa9ccebfa4aed78aa3,11310001,上海烟草集团有限责任公司,上海烟草集团公司,310000,310000
上海烟草集团公司北京卷烟厂,618e914d95a74cfa9ccebfa4aed78aa3,11310001,上海烟草集团有限责任公司,上海烟草集团公司,310000,310000
上海烟草集团公司天津卷烟厂,618e914d95a74cfa9ccebfa4aed78aa3,11310001,上海烟草集团有限责任公司,上海烟草集团公司,310000,310000
上海烟草集团公司天津卷烟厂人力资源科,618e914d95a74cfa9ccebfa4aed78aa3,11310001,上海烟草集团有限责任公司,上海烟草集团公司,310000,310000
上海烟草集团公司市场营销中心,618e914d95a74cfa9ccebfa4aed78aa3,11310001,上海烟草集团有限责任公司,上海烟草集团公司,310000,310000
上海烟草集团公司市场营销中心品牌部,618e914d95a74cfa9ccebfa4aed78aa3,11310001,上海烟草集团有限责任公司,上海烟草集团公司,310000,310000
